"Año 
";"Departamento 
";"Municipio
";"CIE-10
";"Diagnóstico
";Grupo Etario;Sexo;Casos
2024;EL PETEN;SAN BENITO;I:42;Cardiomiopatía;30 a 34 años;M;1
2024;EL PETEN;SAN BENITO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;50 a 54 años;M;3
2024;EL PETEN;SAN BENITO;I:61;Hemorragia intraencefálica;55 a 59 años;M;1
2024;EL PETEN;SAN BENITO;N:18;Insuficiencia renal crónica;25 a 29 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:10;Hipertensión esencial (primaria);20 a 24 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:50;Insuficiencia cardíaca;60 a 64 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;65 a 69 años;M;3
2024;ESCUINTLA;PUERTO DE SAN JOSÉ;J:45;Asma;2m a < 1 año;M;1
2024;GUATEMALA;AMATITLÁN;J:45;Asma;1a a 4 años;M;1
2024;GUATEMALA;GUATEMALA;I:00;Fiebre reumática sin mención de complicación cardíaca;1a a 4 años;M;1
2024;GUATEMALA;GUATEMALA;I:49;Otras arritmias cardíacas;5 a 9 años;M;2
2024;GUATEMALA;GUATEMALA;J:45;Asma;2m a < 1 año;M;2
2024;GUATEMALA;MIXCO;I:42;Cardiomiopatía;45 a 49 años;M;1
2024;GUATEMALA;MIXCO;J:45;Asma;45 a 49 años;M;1
2024;GUATEMALA;SAN JOSÉ DEL GOLFO;J:45;Asma;35 a 39 años;M;1
2024;HUEHUETENANGO;BARILLAS;I:46;Paro cardíaco;10 a 14 años;M;1
2024;HUEHUETENANGO;BARILLAS;I:49;Otras arritmias cardíacas;15 a 19 años;M;1
2024;HUEHUETENANGO;SAN PEDRO NECTA;I:42;Cardiomiopatía;40 a 44 años;M;6
2024;HUEHUETENANGO;SAN PEDRO NECTA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;50 a 54 años;M;2
2024;IZABAL;LIVINGSTON;I:10;Hipertensión esencial (primaria);60 a 64 años;M;1
2024;IZABAL;LOS AMATES;J:45;Asma;35 a 39 años;M;1
2024;IZABAL;PUERTO BARRIOS;I:15;Hipertensión secundaria;1a a 4 años;M;1
2024;IZABAL;PUERTO BARRIOS;I:23;Ciertas complicaciones presentes posteriores al infarto agudo del miocardio;5 a 9 años;M;1
2024;IZABAL;PUERTO BARRIOS;I:42;Cardiomiopatía;20 a 24 años;M;2
2024;IZABAL;PUERTO BARRIOS;I:49;Otras arritmias cardíacas;30 a 34 años;M;2
2024;IZABAL;PUERTO BARRIOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;35 a 39 años;M;1
2024;IZABAL;PUERTO BARRIOS;J:45;Asma;1m a < 2m;M;2
2024;JALAPA;JALAPA;J:45;Asma;< 1 mes;M;1
2024;JUTIAPA;ASUNCIÓN MITA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;70+;M;1
2024;JUTIAPA;JUTIAPA;D:01;Carcinoma in situ de otros órganos digestivos y de los no especificados;1m a < 2m;M;1
2024;JUTIAPA;JUTIAPA;I:10;Hipertensión esencial (primaria);30 a 34 años;M;1
2024;JUTIAPA;JUTIAPA;I:49;Otras arritmias cardíacas;10 a 14 años;M;1
2024;JUTIAPA;JUTIAPA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;15 a 19 años;M;1
2024;JUTIAPA;YUPILTEPEQUE;J:45;Asma;1a a 4 años;M;1
2024;QUETZALTENANGO;CAJOLÁ;I:42;Cardiomiopatía;65 a 69 años;M;1
2024;QUETZALTENANGO;CAJOLÁ;I:46;Paro cardíaco;65 a 69 años;M;1
2024;QUETZALTENANGO;COATEPEQUE;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;5 a 9 años;M;8
2024;QUETZALTENANGO;EL PALMAR;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;1a a 4 años;M;1
2024;QUETZALTENANGO;QUETZALTENANGO;I:10;Hipertensión esencial (primaria);1m a < 2m;M;1
2024;QUETZALTENANGO;SAN CARLOS SIJA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;2m a < 1 año;M;1
